# model_name: gpt-4
# embedding_model_name: 'openai:'
# generate_background: true
# task_started: '2023-09-03 22:14:45.053039'
# task_finished: null
# executed_on: 'Darwin-21.6.0-Darwin Kernel Version 21.6.0: Mon Aug 22 20:19:52 PDT
#   2022; root:xnu-8020.140.49~2/RELEASE_ARM64_T6000-arm64'
# agent: dae
# extractor: BasicExtractor
# method: null
# source_db_path: db
# target_db_path: db
# source_collection: ont_foodon
# additional_collections: null
# num_training: null
# num_testing: 50
# num_validation: 0
# stratified_collection:
#   source: null
#   training_set: null
#   testing_set: null
#   validation_set: null
#   training_set_collection: ont_foodon_training
#   testing_set_collection: ont_foodon_testing
#   validation_set_collection: null
# fields_to_mask:
# - id
# - original_id
# fields_to_predict:
# - definition
# report_path: null
# working_directory: results
# results: null
masked_id	feature_label	expected_definition	feature_aliases	feature_relationships	feature_logical_definition	masked_original_id	predicted_definition	metric_precision	metric_recall	metric_f1_score	metric_accuracy	metric_specificity	metric_true_positives	metric_true_negatives	metric_false_positives	metric_false_negatives
PignutHickoryNut	pignut hickory nut	A whole hickory nut from a pignut hickory tree (Carya glabra).		[{'predicate': 'InTaxon', 'target': 'CaryaGlabra'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}, {'predicate': 'subClassOf', 'target': 'CaryopsisFruit'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'CaryopsisFruit'}, {'predicate': 'InTaxon', 'target': 'CaryaGlabra'}]	FOODON:00004448	A caryopsis fruit of the pignut hickory tree (Carya glabra).	0.0	0.0	0.0	0.0	0.0	0	0	1	1
GreekYogurt	greek yogurt			[{'predicate': 'subClassOf', 'target': 'StrainedYogurt'}]		FOODON:00004409	A dairy product, originally from Greece and the Middle East, belonging to the subcategory of strained yogurt. Distinct for its rich, tangy flavor and high protein content, it is thicker and creamier than unstrained yogurt due to the removal of whey in its production. It is known to contain beneficial probiotics, calcium, potassium, and vitamin B12, while sugar and fats content can vary. Greek yogurt can be consumed plain or flavored, and used in various dishes.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
TurkeyMeat_ground_sauteed_	turkey meat (ground, sauteed)	Ground turkey meat which has been sauteed.		[{'predicate': 'subClassOf', 'target': 'TurkeyMeatFoodProduct'}]		FOODON:00004417	Turkey Meat (Ground, Sauteed) is a type of Turkey Meat Food Product that involves sauteing or frying ground turkey meat in a pan, typically with added ingredients such as oil, garlic, onion, or spices. Its versatility allows it to blend well with various cooking styles and international cuisine. Nutritionally, it is a good source of protein and can offer other essential nutrients depending on what it is cooked with. This product is commonly used in dishes like tacos, burritos, pasta dishes, or homemade burgers.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
Raw	raw	A characteristic of an animal, plant, fungi or algae, or a substantial piece thereof, which has not had material processing done to it that affects its biochemical composition.		[{'predicate': 'subClassOf', 'target': 'FoodObjectQuality'}]		FOODON:00004348		0.0	0.0	0.0	0.0	0.0	0	0	0	1
SpeltFoodProduct	spelt food product	A food product made from spelt wheat.		[{'predicate': 'subClassOf', 'target': 'WheatFoodProduct'}]		FOODON:00004434		0.0	0.0	0.0	0.0	0.0	0	0	0	1
LongGrainBrownRice_uncooked_	long grain brown rice (uncooked)			[{'predicate': 'subClassOf', 'target': 'BrownRiceFoodProduct'}]		FOODON:00004374	A specific type of rice characterized by its elongated grains, brown color due to the retained bran layer, nutty flavor, and chewy texture. It requires a longer cooking time compared to processed rice and is considered healthier due to the presence of fiber, vitamins, and minerals.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
LongGrainBrownRice_cooked_	long grain brown rice (cooked)			[{'predicate': 'subClassOf', 'target': 'BrownRiceFoodProduct'}]		FOODON:00004373	A specific type of cooked Rice Food Product. Only its hull is removed which keeps the bran and germ intact, distinguishing it from white rice. It is known for its length, becoming even longer after it is cooked. This rice is soft and chewy with a slightly nutty flavor, and it includes essential nutrients like dietary fiber, selenium, and magnesium. It contributes to heart health, aids in weight loss, and promotes good digestion.	0.0	0.0	0.0	0.0	0.0	0	0	1	0
AnimalPieceS_	animal piece(s)	A collection of one or more anatomical or other pieces derived from animal(s).		[{'predicate': 'HasMember', 'target': 'AnimalPiece'}, {'predicate': 'subClassOf', 'target': 'AnimalMaterial'}]		FOODON:00004335	A specific, separable part of an animal such as hide, fur, bones, meat, fluids, or any other bodily constituent, either in raw form or processed. It is a subclass of animal material and can possibly include various parts that together form an animal.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
ShagbarkHickoryNut	shagbark hickory nut	A whole hickory nut from a shagbark hickory tree (Carya ovata)		[{'predicate': 'InTaxon', 'target': 'CaryaOvata'}, {'predicate': 'subClassOf', 'target': 'HickoryNut'}]	[{'predicate': 'rdfs:subClassOf', 'target': 'HickoryNut'}, {'predicate': 'InTaxon', 'target': 'CaryaOvata'}]	FOODON:00004451	A hickory nut of a shagbark hickory tree (Carya ovata).	0.0	0.0	0.0	0.0	0.0	0	0	1	1
MexicanGreySquash	mexican grey squash	A whole Mexican grey squash.		[{'predicate': 'subClassOf', 'target': 'SummerSquash'}]		FOODON:00004446	A type of Summer Squash that predominantly comes from Central and South America. Resembling zucchini in texture and taste, Mexican grey squash sets itself apart with a greyish tint to its skin and a rounded rather than elongated shape. It is grown in warm weather and have relatively short and bushy plants with a non-vining growth habit.	0.0	0.0	0.0	0.0	0.0	0	0	1	1
